Date of Data,Code,Company Name,Nikkei Industrial Classification,Sector,Weight
"2025/07/31","1332","NISSUI CORP.","Fishery","Consumer Goods","0.0728%"
"2025/07/31","1605","INPEX CORP.","Mining","Materials","0.0706%"
"2025/07/31","1721","COMSYS HOLDINGS CORP.","Construction","Capital Goods/Others","0.2854%"
"2025/07/31","1801","TAISEI CORP.","Construction","Capital Goods/Others","0.1491%"
"2025/07/31","1802","OBAYASHI CORP.","Construction","Capital Goods/Others","0.1832%"
"2025/07/31","1803","SHIMIZU CORP.","Construction","Capital Goods/Others","0.1382%"
"2025/07/31","1808","HASEKO CORP.","Construction","Capital Goods/Others","0.0369%"
"2025/07/31","1812","KAJIMA CORP.","Construction","Capital Goods/Others","0.1559%"
"2025/07/31","1925","DAIWA HOUSE IND. CO., LTD.","Construction","Capital Goods/Others","0.4114%"
"2025/07/31","1928","SEKISUI HOUSE, LTD.","Construction","Capital Goods/Others","0.2620%"
"2025/07/31","1963","JGC HOLDINGS CORP.","Construction","Capital Goods/Others","0.1116%"
"2025/07/31","2002","NISSHIN SEIFUN GROUP INC.","Foods","Consumer Goods","0.1441%"
"2025/07/31","2269","MEIJI HOLDINGS CO., LTD.","Foods","Consumer Goods","0.1007%"
"2025/07/31","2282","NH FOODS LTD.","Foods","Consumer Goods","0.2096%"
"2025/07/31","2413","M3, INC.","Services","Consumer Goods","0.3710%"
"2025/07/31","2432","DENA CO., LTD.","Services","Consumer Goods","0.0589%"
"2025/07/31","2501","SAPPORO HOLDINGS LTD.","Foods","Consumer Goods","0.1152%"
"2025/07/31","2502","ASAHI GROUP HOLDINGS, LTD.","Foods","Consumer Goods","0.4733%"
"2025/07/31","2503","KIRIN HOLDINGS CO., LTD.","Foods","Consumer Goods","0.1643%"
"2025/07/31","2768","SOJITZ CORP.","Trading Companies","Materials","0.0296%"
"2025/07/31","2801","KIKKOMAN CORP.","Foods","Consumer Goods","0.5443%"
"2025/07/31","2802","AJINOMOTO CO., INC.","Foods","Consumer Goods","0.6585%"
"2025/07/31","2871","NICHIREI CORP.","Foods","Consumer Goods","0.1502%"
"2025/07/31","2914","JAPAN TOBACCO INC.","Foods","Consumer Goods","0.3550%"
"2025/07/31","3086","J.FRONT RETAILING CO., LTD.","Retail","Consumer Goods","0.0842%"
"2025/07/31","3092","ZOZO, INC.","Retail","Consumer Goods","0.3687%"
